other_sector,Transport,Industry,land_use
10586.273,5135.478,3961.75,5796.907
10693.8,5314.705,4074.455,5822.231
9804.24,5744.794,3768.741,5962.961
9768.514,5721.605,3986.719,5439.674
9893.174,5974.943,4242.626,5841.635
9720.624,6271.711,4347.623,6709.607
9727.608,7321.986,4182.735,6252.153
9435.387,7702.13,4550.551,4877.45
9894.346,9048.156,4589.618,5432.594
9695.297,9749.217,4810.475,5476.711
9849.741,10788.975,5642.369,5938.587
10189.764,11311.989,5599.385,6719.425
10045.509,11506.561,5323.055,7092.642
10314.181,11709.932,5513.819,7112.63
10263.576,12430.284,5694.093,5358.8
10798.742,13121.297,5870.713,5203.192
10493.974,13801.502,5752.699,6074.96
10290.858,14388.105,5811.69,4799.882
11164.84,13660.614,5654.192,3674.553
10660.208,12441.374,4505.244,3107.115
10948.225,11528.462,4497.089,4169.961
9503.323,11219.542,4159.664,4148.345
9105.365,10835.821,4188.594,4575.058
9006.9,11065.556,4238.565,4340.821
8126.671,11347.382,4323.401,4640.557
8362.238,11827.35,4548.821,4313.607
